trait_description	phecode	sex	Umbrella_ICD9_case_inclusion	Umbrella_ICD10_case_inclusion	Umbrella_ICD9_control_exclusion	Umbrella_ICD10_control_exclusion	full_list_ICD9_case_inclusion	full_list_ICD10_case_inclusion	full_list_ICD9_control_exclusion	full_list_ICD10_control_exclusion	Notes
Atrial fibrillation (AFib)	427.2	Both	427.31	I48.0,I48.1.,I48.2.,I48.91	426.,427.,785.0,785.1,794.31,996.01,996.04,V12.53,V45.0.,V53.3.	I44.,I45.,I46.,I47.,I48.,I49.,R00.0,R00.1,R00.2,R94.31,Z86.74,Z95.0,Z95.810,Z95.9	427.31	I48.0,I48.1,I48.11,I48.19,I48.2,I48.20,I48.21,I48.91	426,426.0,426.1,426.10,426.11,426.12,426.13,426.2,426.3,426.4,426.5,426.50,426.51,426.52,426.53,426.54,426.6,426.7,426.8,426.81,426.82,426.89,426.9,427,427.0,427.1,427.2,427.3,427.31,427.32,427.4,427.41,427.42,427.5,427.6,427.60,427.61,427.69,427.8,427.81,427.89,427.9,785.0,785.1,794.31,996.01,996.04,V12.53,V45.0,V45.00,V45.01,V45.02,V45.09,V53.3,V53.31,V53.32,V53.39	I44.0,I44.1,I44.2,I44.3,I44.30,I44.39,I44.4,I44.5,I44.6,I44.60,I44.69,I44.7,I45.0,I45.1,I45.10,I45.19,I45.2,I45.3,I45.4,I45.5,I45.6,I45.8,I45.81,I45.89,I45.9,I46,I46.2,I46.8,I46.9,I47,I47.0,I47.1,I47.2,I47.9,I48,I48.0,I48.1,I48.11,I48.19,I48.2,I48.20,I48.21,I48.3,I48.4,I48.9,I48.91,I48.92,I49.0,I49.01,I49.02,I49.1,I49.2,I49.3,I49.4,I49.40,I49.49,I49.5,I49.8,I49.9,R00.0,R00.1,R00.2,R94.31,Z86.74,Z95.0,Z95.810,Z95.9	
Asthma	495	Both	493.	J45.	490,491.,492.,493.,494.,496,519.11	J40,J41.,J42,J43.,J44.,J45.,J47.,J98.01	493,493.0,493.00,493.01,493.02,493.1,493.10,493.11,493.12,493.2,493.20,493.21,493.22,493.8,493.81,493.82,493.9,493.90,493.91,493.92	J45,J45.2,J45.20,J45.21,J45.22,J45.3,J45.30,J45.31,J45.32,J45.4,J45.40,J45.41,J45.42,J45.5,J45.50,J45.51,J45.52,J45.9,J45.90,J45.901,J45.902,J45.909,J45.99,J45.990,J45.991,J45.998	490,491,491.0,491.1,491.2,491.20,491.21,491.22,491.8,491.9,492,492.0,492.8,493,493.0,493.00,493.01,493.02,493.1,493.10,493.11,493.12,493.2,493.20,493.21,493.22,493.8,493.81,493.82,493.9,493.90,493.91,493.92,494,494.0,494.1,496,519.11	J40,J41,J41.0,J41.1,J41.8,J42,J43,J43.0,J43.1,J43.2,J43.8,J43.9,J44,J44.0,J44.1,J44.9,J45,J45.2,J45.20,J45.21,J45.22,J45.3,J45.30,J45.31,J45.32,J45.4,J45.40,J45.41,J45.42,J45.5,J45.50,J45.51,J45.52,J45.9,J45.90,J45.901,J45.902,J45.909,J45.99,J45.990,J45.991,J45.998,J47,J47.0,J47.1,J47.9,J98.01	
Breast cancer (BC)	174	Females	174.,238.3,233.0,239.3,V10.3	C50.,D05.,D48.6.,D49.3,Z85.3	174.,175.,179,180.,181,182.,183.,184.,217,233.0,233.1,233.2,233.3.,236.,238.3,239.3,610.,612.,622.1.,V10.3,V10.40,V10.41,V10.42,V10.43,V10.44,V45.71,V50.41,V51.0,V84.01	C50.,C51.,C52,C53.,C54.,C55,C56.,C57.,C58,D05.,D06.,D07.0,D07.1,D07.2,D07.3.,D24.,D39.,D48.6.,D49.3,N60.,N65.,N87.,N90.3,Z85.3,Z85.40,Z85.41,Z85.42,Z85.43,Z85.44	174.,174.0,174.1,174.2,174.3,174.4,174.5,174.6,174.8,174.9,233.0,238.3,239.3,V10.3	C50,C50.01,C50.011,C50.012,C50.019,C50.11,C50.111,C50.112,C50.119,C50.21,C50.211,C50.212,C50.219,C50.31,C50.311,C50.312,C50.319,C50.41,C50.411,C50.412,C50.419,C50.51,C50.511,C50.512,C50.519,C50.61,C50.611,C50.612,C50.619,C50.8,C50.81,C50.811,C50.812,C50.819,C50.91,C50.911,C50.912,C50.919,D05.,D05.0,D05.00,D05.01,D05.02,D05.1,D05.10,D05.11,D05.12,D05.8,D05.80,D05.81,D05.82,D05.9,D05.90,D05.91,D05.92,D48.6,D48.60,D48.61,D48.62,D49.3,Z85.3	174,174.0,174.1,174.2,174.3,174.4,174.5,174.6,174.8,174.9,175,175.0,175.9,179,180,180.0,180.1,180.8,180.9,181,182,182.0,182.1,182.8,183,183.0,183.2,183.3,183.4,183.5,183.8,183.9,184,184.0,184.1,184.2,184.3,184.4,184.8,184.9,217,233.0,233.1,233.2,233.3,233.30,233.31,233.32,233.39,236.0,236.1,236.2,236.3,238.3,239.3,610,610.0,610.1,610.2,610.3,610.4,610.8,610.9,612,612.0,612.1,622.1,622.10,622.11,622.12,V10.3,V10.40,V10.41,V10.42,V10.43,V10.44,V45.71,V50.41,V51.0,V84.01	C50,C50.01,C50.011,C50.012,C50.019,C50.02,C50.021,C50.022,C50.029,C50.11,C50.111,C50.112,C50.119,C50.12,C50.121,C50.122,C50.129,C50.21,C50.211,C50.212,C50.219,C50.22,C50.221,C50.222,C50.229,C50.31,C50.311,C50.312,C50.319,C50.32,C50.321,C50.322,C50.329,C50.41,C50.411,C50.412,C50.419,C50.42,C50.421,C50.422,C50.429,C50.51,C50.511,C50.512,C50.519,C50.52,C50.521,C50.522,C50.529,C50.61,C50.611,C50.612,C50.619,C50.62,C50.621,C50.622,C50.629,C50.8,C50.81,C50.811,C50.812,C50.819,C50.82,C50.821,C50.822,C50.829,C50.91,C50.911,C50.912,C50.919,C50.92,C50.921,C50.922,C50.929,C51,C51.0,C51.1,C51.2,C51.8,C51.9,C52,C53,C53.0,C53.1,C53.8,C53.9,C54,C54.0,C54.1,C54.2,C54.3,C54.8,C54.9,C55,C56,C56.1,C56.2,C56.9,C57,C57.0,C57.00,C57.01,C57.02,C57.1,C57.10,C57.11,C57.12,C57.2,C57.20,C57.21,C57.22,C57.3,C57.4,C57.7,C57.8,C57.9,C58,D05,D05.0,D05.00,D05.01,D05.02,D05.1,D05.10,D05.11,D05.12,D05.8,D05.80,D05.81,D05.82,D05.9,D05.90,D05.91,D05.92,D06,D06.0,D06.1,D06.7,D06.9,D07.0,D07.1,D07.2,D07.3,D07.30,D07.39,D24,D24.1,D24.2,D24.9,D39,D39.0,D39.1,D39.10,D39.11,D39.12,D39.2,D39.8,D39.9,D48.6,D48.60,D48.61,D48.62,D49.3,N60,N60.0,N60.01,N60.02,N60.09,N60.1,N60.11,N60.12,N60.19,N60.2,N60.21,N60.22,N60.29,N60.3,N60.31,N60.32,N60.39,N60.4,N60.41,N60.42,N60.49,N60.8,N60.81,N60.82,N60.89,N60.9,N60.91,N60.92,N60.99,N65,N65.0,N65.1,N87,N87.0,N87.1,N87.9,N90.3,Z85.3,Z85.40,Z85.41,Z85.42,Z85.43,Z85.44	
Coronary artery disease (CAD)	411.4	Both	411.81,414.0.,414.1.,414.2,414.3,414.4,996.03,V45.81,V45.82	I24.0,I25.1.,I25.3,I25.4.,I25.70.,I25.71.,I25.72.,I25.73.,I25.79.,I25.810,I25.82,I25.83,I25.84,Z95.1,Z95.5,Z98.6.	410.,411.,412,413.,414.,429.,996.03,V45.81,V45.82	B33.2,I20.,I21.,I22.,I23.,I24.,I25.,I51.0,I51.1,I51.2,I51.3,I51.5,I51.8,I51.89,I51.9,I52,Z95.1,Z95.5,Z98.6.	411.81,414.0,414.00,414.01,414.02,414.03,414.04,414.05,414.06,414.07,414.2,414.3,414.4,996.03,V45.81,V45.82	I24.0,I25.1,I25.10,I25.11,I25.110,I25.111,I25.112,I25.118,I25.119,I25.70,I25.700,I25.701,I25.702,I25.708,I25.709,I25.710,I25.711,I25.712,I25.718,I25.719,I25.72,I25.720,I25.721,I25.728,I25.729,I25.73,I25.730,I25.731,I25.738,I25.739,I25.79,I25.790,I25.791,I25.792,I25.798,I25.799,I25.81,I25.810,I25.82,I25.83,I25.84,Z95.1,Z95.5,Z98.6,Z98.61,Z98.62	410,410.0,410.00,410.01,410.02,410.1,410.10,410.11,410.12,410.2,410.20,410.21,410.22,410.3,410.30,410.31,410.32,410.4,410.41,410.42,410.5,410.50,410.51,410.52,410.6,410.60,410.61,410.62,410.7,410.70,410.71,410.72,410.8,410.80,410.81,410.82,410.9,410.90,410.91,410.92,411,411.0,411.1,411.8,411.81,411.89,412,413,413.0,413.1,413.9,414,414.0,414.00,414.01,414.02,414.03,414.04,414.05,414.1,414.10,414.11,414.12,414.19,414.2,414.3,414.4,414.8,414.9,429,429.1,429.2,429.5,429.6,429.7,429.71,429.79,429.8,429.89,429.9,996.03,V45.81,V45.82	B33.2,I20,I20.0,I20.1,I20.8,I20.9,I21,I21.0,I21.01,I21.02,I21.09,I21.1,I21.11,I21.19,I21.2,I21.21,I21.29,I21.3,I21.4,I21.9,I21.A,I21.A1,I21.A9,I22,I22.0,I22.1,I22.2,I22.8,I22.9,I23,I23.0,I23.1,I23.2,I23.3,I23.4,I23.5,I23.6,I23.7,I23.8,I24.0,I24.1,I24.8,I24.9,I25,I25.1,I25.10,I25.110,I25.111,I25.112,I25.118,I25.119,I25.2,I25.3,I25.4,I25.41,I25.42,I25.5,I25.6,I25.700,I25.701,I25.702,I25.708,I25.709,I25.710,I25.711,I25.712,I25.718,I25.719,I25.720,I25.721,I25.728,I25.729,I25.730,I25.731,I25.738,I25.739,I25.750,I25.751,I25.758,I25.759,I25.760,I25.761,I25.768,I25.769,I25.790,I25.791,I25.792,I25.798,I25.799,I25.8,I25.810,I25.82,I25.83,I25.84,I25.89,I25.9,I51.0,I51.1,I51.2,I51.3,I51.5,I51.8,I51.89,I51.9,I52,Z95.1,Z95.5,Z98.6,Z98.61,Z98.62	
Hypercholesterolemia (HCL)	272.11	Both	272.0	E78.0.	272.	E75.6,E78.0.,E78.1,E78.2,E78.3,E78.4,E78.5,E78.70,E78.9	272.0	E78.0,E78.00,E78.01	272,272.0,272.1,272.2,272.3,272.4,272.9	E75.6,E78.0,E78.00,E78.01,E78.010,E78.011,E78.019,E78.1,E78.2,E78.3,E78.4,E78.5,E78.70,E78.9	
Obesity	278.1	Both	278.00,793.91,V85.3.,V85.4.,V85.54	E66.811,E66.8.,E66.9,R93.9,Z68.3.	278.,783.1,793.91,V85.2.,V85.3.,V85.4.,V85.53,V85.54	E65,E66.0.,E66.1,E66.3,E66.8.,E66.9,E67.,E68,R63.5,R93.9,Z68.25,Z68.26,Z68.27,Z68.28,Z68.29,Z68.3.,Z68.4.	278.00,278.01,793.91,V85.3,V85.30,V85.31,V85.32,V85.33,V85.34,V85.35,V85.36,V85.37,V85.38,V85.39,V85.4,V85.41,V85.42,V85.43,V85.44,V85.45,V85.54	E66.0,E66.09,E66.1,E66.8,E66.811,E66.812,E66.813,E66.89,E66.312,E66.9,R93.9,Z68.3,Z68.30,Z68.31,Z68.32,Z68.33,Z68.34,Z68.35,Z68.36,Z68.37,Z68.38,Z68.39	278,278.0,278.00,278.01,278.02,278.1,278.2,278.3,278.4,278.8,783.1,793.91,V85.2,V85.21,V85.22,V85.23,V85.24,V85.25,V85.3,V85.30,V85.31,V85.32,V85.33,V85.34,V85.35,V85.36,V85.37,V85.38,V85.39,V85.4,V85.41,V85.42,V85.43,V85.44,V85.45,V85.53,V85.54	E65,E66.0,E66.01,E66.09,E66.1,E66.3,E66.8,E66.811,E66.812,E66.813,E66.89,E66.9,E67,E67.0,E67.1,E67.2,E67.3,E67.8,E68,R63.5,R93.9,Z68.25,Z68.26,Z68.27,Z68.28,Z68.29,Z68.3,Z68.30,Z68.31,Z68.32,Z68.33,Z68.34,Z68.35,Z68.36,Z68.37,Z68.38,Z68.39,Z68.4,Z68.41,Z68.42,Z68.43,Z68.44,Z68.45	case with BMI over 30 (Class I to Class III),control with BMI under 25
Chronic kidney disease (CKD)	585.3	Both	585.,792.5,996.73,E870.2,E871.2,E872.2,E874.2,E879.1,V45.1.,V56.,V56.8	N18.,R88.0,Y62.0,Y62.2,Y84.1,Z99.2	580.,581.,582.,583.,584.,585.,586,587,588.,589.,590.,593.,792.5,794.4,996.73,996.81,E870.2,E871.2,E872.2,E874.2,E879.1,V13.03,V42.0,V45.1.,V56.	B52.0,M10.31,M10.32,M10.33,M10.34,M10.35,M10.36,M32.14,M32.15,M35.04,N00.,N01.,N02.,N03.,N04.,N05.,N06.,N07.,N08,N10,N11.,N12,N13.0,N13.4,N13.5,N13.6,N13.7.,N13.8,N14.,N15.,N16,N17.,N18.,N19,N25.,N26.,N27.,N28.,N29,R88.0,R94.4,T86.1.,Y62.0,Y62.2,Y84.1,Z87.441,Z94.0,Z99.2	585.,585.1,585.2,585.3,585.4,585.5,585.6,585.9,792.5,996.73,E870.2,E871.2,E872.2,E874.2,E879.1,V45.1,V45.11,V45.12,V56.,V56.0,V56.1,V56.2,V56.31,V56.32,V56.8	N18,N18.1,N18.2,N18.3,N18.30,N18.31,N18.32,N18.4,N18.5,N18.6,N18.9,R88.0,Y62.0,Y62.2,Y84.1,Z99.2	580,580.0,580.4,580.8,580.81,580.89,580.9,581,581.0,581.1,581.2,581.3,581.8,581.81,581.89,581.9,582,582.0,582.1,582.2,582.4,582.8,582.81,582.89,582.9,583,583.0,583.1,583.2,583.4,583.6,583.7,583.8,583.81,583.89,583.9,584,584.5,584.6,584.7,584.8,584.9,585,585.0,585.1,585.2,585.3,585.4,585.5,585.6,585.9,586,586.0,587,587.0,588,588.0,588.1,588.8,588.81,588.89,588.9,589,589.0,589.1,589.9,590,590.0,590.00,590.01,590.1,590.10,590.11,590.2,590.3,590.8,590.80,590.81,590.9,593,593.0,593.1,593.2,593.3,593.4,593.5,593.7,593.70,593.71,593.72,593.73,593.8,593.81,593.82,593.89,593.9,792.5,794.4,996.73,996.81,E870.2,E871.2,E872.2,E874.2,E879.1,V13.03,V42.0,V45.1,V45.11,V45.12,V56,V56.0,V56.1,V56.2,V56.31,V56.32,V56.8	B52.0,M10.31,M10.32,M10.33,M10.34,M10.35,M10.36,M32.14,M32.15,M35.04,N00,N00.0,N00.1,N00.2,N00.3,N00.4,N00.5,N00.6,N00.7,N00.8,N00.9,N01,N01.0,N01.1,N01.2,N01.3,N01.4,N01.5,N01.6,N01.7,N01.8,N01.9,N02.0,N02.1,N02.2,N02.3,N02.4,N02.5,N02.6,N02.7,N02.8,N02.9,N03,N03.0,N03.1,N03.2,N03.3,N03.4,N03.5,N03.6,N03.7,N03.8,N03.9,N04,N04.0,N04.1,N04.2,N04.3,N04.4,N04.5,N04.6,N04.7,N04.8,N04.9,N05,N05.0,N05.1,N05.2,N05.3,N05.4,N05.5,N05.6,N05.7,N05.8,N05.9,N06.0,N06.1,N06.2,N06.3,N06.4,N06.5,N06.6,N06.7,N06.8,N06.9,N07.0,N07.1,N07.2,N07.3,N07.4,N07.5,N07.6,N07.7,N07.8,N07.9,N08,N10,N11,N11.0,N11.1,N11.8,N11.9,N12,N13.0,N13.4,N13.5,N13.6,N13.7,N13.70,N13.71,N13.72,N13.721,N13.722,N13.729,N13.73,N13.731,N13.732,N13.739,N13.8,N14,N14.0,N14.1,N14.2,N14.3,N14.4,N15.0,N15.1,N15.8,N15.9,N16,N17,N17.0,N17.1,N17.2,N17.8,N17.9,N18,N18.1,N18.2,N18.3,N18.30,N18.31,N18.32,N18.4,N18.5,N18.6,N18.9,N19,N25,N25.0,N25.1,N25.81,N25.89,N25.9,N26,N26.1,N26.9,N27,N27.0,N27.1,N27.9,N28.0,N28.1,N28.8,N28.81,N28.82,N28.83,N28.84,N28.85,N28.86,N28.89,N28.9,N29,R88.0,R94.4,T86.1,T86.10,T86.11,T86.12,T86.13,T86.19,Y62.0,Y62.2,Y84.1,Z87.441,Z94.0,Z99.2	
Type 1 diabetes (T1D)	250.1	Both	250.01,250.03,250.11,250.13,250.21,250.23,250.31,250.33,250.41,250.43,250.51,250.53,250.61,250.63,250.71,250.73,250.81,250.83,250.91,250.93	E10.	249.,250.,357.2,362.0.,790.2.,791.5,791.6,V45.85,V53.91,V58.67,V65.46	E08.,E09.,E10.,E11.,E13.,O24.0.,O24.1.,O24.3.,O24.8.,R73.0.,R73.9,R81,R82.4,Z96.4.	250.01,250.03,250.11,250.13,250.21,250.23,250.31,250.33,250.41,250.43,250.51,250.53,250.61,250.63,250.71,250.73,250.81,250.83,250.91,250.93	E10,E10.1,E10.10,E10.11,E10.2,E10.21,E10.22,E10.29,E10.3,E10.31,E10.311,E10.319,E10.32,E10.321,E10.3211,E10.3212,E10.3213,E10.3219,E10.329,E10.3291,E10.3292,E10.3293,E10.3299,E10.33,E10.331,E10.3311,E10.3312,E10.3313,E10.3319,E10.339,E10.3391,E10.3392,E10.3393,E10.3399,E10.34,E10.341,E10.3411,E10.3412,E10.3413,E10.3419,E10.349,E10.3491,E10.3492,E10.3493,E10.3499,E10.35,E10.351,E10.3511,E10.3512,E10.3513,E10.3519,E10.352,E10.3521,E10.3522,E10.3523,E10.3529,E10.353,E10.3531,E10.3532,E10.3533,E10.3539,E10.354,E10.3541,E10.3542,E10.3543,E10.3549,E10.355,E10.3551,E10.3552,E10.3553,E10.3559,E10.359,E10.3591,E10.3592,E10.3593,E10.3599,E10.36,E10.37,E10.37X1,E10.37X2,E10.37X3,E10.37X9,E10.39,E10.4,E10.40,E10.41,E10.42,E10.43,E10.44,E10.49,E10.5,E10.51,E10.52,E10.59,E10.6,E10.61,E10.610,E10.618,E10.62,E10.620,E10.621,E10.622,E10.628,E10.63,E10.630,E10.638,E10.64,E10.641,E10.649,E10.65,E10.69,E10.8,E10.9,E10.A,E10.A0,E10.A1,E10.A2	249,249.0,249.00,249.01,249.1,249.10,249.11,249.2,249.20,249.21,249.3,249.30,249.31,249.4,249.40,249.41,249.5,249.50,249.51,249.6,249.60,249.61,249.7,249.70,249.71,249.8,249.80,249.81,249.9,249.90,249.91,250,250.0,250.00,250.01,250.02,250.03,250.1,250.10,250.11,250.12,250.13,250.2,250.20,250.21,250.22,250.23,250.3,250.30,250.31,250.32,250.33,250.4,250.40,250.41,250.42,250.43,250.5,250.50,250.51,250.52,250.53,250.6,250.60,250.61,250.62,250.63,250.7,250.70,250.71,250.72,250.73,250.8,250.80,250.81,250.82,250.83,250.9,250.90,250.91,250.92,250.93,357.2,362.0,362.01,362.02,362.03,362.04,362.05,362.06,362.07,790.2,790.21,790.22,790.29,791.5,791.6,V45.85,V53.91,V58.67,V65.46	E08,E08.0,E08.00,E08.01,E08.1,E08.10,E08.11,E08.2,E08.21,E08.22,E08.29,E08.3,E08.31,E08.311,E08.319,E08.32,E08.321,E08.3211,E08.3212,E08.3213,E08.3219,E08.329,E08.3291,E08.3292,E08.3293,E08.3299,E08.33,E08.331,E08.3311,E08.3312,E08.3313,E08.3319,E08.339,E08.3391,E08.3392,E08.3393,E08.3399,E08.34,E08.341,E08.3411,E08.3412,E08.3413,E08.3419,E08.349,E08.3491,E08.3492,E08.3493,E08.3499,E08.35,E08.351,E08.3511,E08.3512,E08.3513,E08.3519,E08.352,E08.3521,E08.3522,E08.3523,E08.3529,E08.353,E08.3531,E08.3532,E08.3533,E08.3539,E08.354,E08.3541,E08.3542,E08.3543,E08.3549,E08.355,E08.3551,E08.3552,E08.3553,E08.3559,E08.359,E08.3591,E08.3592,E08.3593,E08.3599,E08.36,E08.37,E08.37X1,E08.37X2,E08.37X3,E08.37X9,E08.39,E08.4,E08.40,E08.41,E08.42,E08.43,E08.44,E08.49,E08.5,E08.51,E08.52,E08.59,E08.6,E08.61,E08.610,E08.618,E08.62,E08.620,E08.621,E08.622,E08.628,E08.63,E08.630,E08.638,E08.64,E08.641,E08.649,E08.65,E08.69,E08.8,E08.9,E09,E09.0,E09.00,E09.01,E09.1,E09.10,E09.11,E09.2,E09.21,E09.22,E09.29,E09.3,E09.31,E09.311,E09.319,E09.32,E09.321,E09.3211,E09.3212,E09.3213,E09.3219,E09.329,E09.3291,E09.3292,E09.3293,E09.3299,E09.33,E09.331,E09.3311,E09.3312,E09.3313,E09.3319,E09.339,E09.3391,E09.3392,E09.3393,E09.3399,E09.34,E09.341,E09.3411,E09.3412,E09.3413,E09.3419,E09.349,E09.3491,E09.3492,E09.3493,E09.3499,E09.35,E09.351,E09.3511,E09.3512,E09.3513,E09.3519,E09.352,E09.3521,E09.3522,E09.3523,E09.3529,E09.353,E09.3531,E09.3532,E09.3533,E09.3539,E09.354,E09.3541,E09.3542,E09.3543,E09.3549,E09.355,E09.3551,E09.3552,E09.3553,E09.3559,E09.359,E09.3591,E09.3592,E09.3593,E09.3599,E09.36,E09.37,E09.37X1,E09.37X2,E09.37X3,E09.37X9,E09.39,E09.4,E09.40,E09.41,E09.42,E09.43,E09.44,E09.49,E09.5,E09.51,E09.52,E09.59,E09.6,E09.61,E09.610,E09.618,E09.62,E09.620,E09.621,E09.622,E09.628,E09.63,E09.630,E09.638,E09.64,E09.641,E09.649,E09.65,E09.69,E09.8,E09.9,E10,E10.1,E10.10,E10.11,E10.2,E10.21,E10.22,E10.29,E10.3,E10.31,E10.311,E10.319,E10.32,E10.321,E10.3211,E10.3212,E10.3213,E10.3219,E10.329,E10.3291,E10.3292,E10.3293,E10.3299,E10.33,E10.331,E10.3311,E10.3312,E10.3313,E10.3319,E10.339,E10.3391,E10.3392,E10.3393,E10.3399,E10.34,E10.341,E10.3411,E10.3412,E10.3413,E10.3419,E10.349,E10.3491,E10.3492,E10.3493,E10.3499,E10.35,E10.351,E10.3511,E10.3512,E10.3513,E10.3519,E10.352,E10.3521,E10.3522,E10.3523,E10.3529,E10.353,E10.3531,E10.3532,E10.3533,E10.3539,E10.354,E10.3541,E10.3542,E10.3543,E10.3549,E10.355,E10.3551,E10.3552,E10.3553,E10.3559,E10.359,E10.3591,E10.3592,E10.3593,E10.3599,E10.36,E10.37,E10.37X1,E10.37X2,E10.37X3,E10.37X9,E10.39,E10.4,E10.40,E10.41,E10.42,E10.43,E10.44,E10.49,E10.5,E10.51,E10.52,E10.59,E10.6,E10.61,E10.610,E10.618,E10.62,E10.620,E10.621,E10.622,E10.628,E10.63,E10.630,E10.638,E10.64,E10.641,E10.649,E10.65,E10.69,E10.8,E10.9,E10.A,E10.A0,E10.A1,E10.A2,E11,E11.0,E11.00,E11.01,E11.1,E11.10,E11.11,E11.2,E11.21,E11.22,E11.29,E11.3,E11.31,E11.311,E11.319,E11.32,E11.321,E11.3211,E11.3212,E11.3213,E11.3219,E11.329,E11.3291,E11.3292,E11.3293,E11.3299,E11.33,E11.331,E11.3311,E11.3312,E11.3313,E11.3319,E11.339,E11.3391,E11.3392,E11.3393,E11.3399,E11.34,E11.341,E11.3411,E11.3412,E11.3413,E11.3419,E11.349,E11.3491,E11.3492,E11.3493,E11.3499,E11.35,E11.351,E11.3511,E11.3512,E11.3513,E11.3519,E11.352,E11.3521,E11.3522,E11.3523,E11.3529,E11.353,E11.3531,E11.3532,E11.3533,E11.3539,E11.354,E11.3541,E11.3542,E11.3543,E11.3549,E11.355,E11.3551,E11.3552,E11.3553,E11.3559,E11.359,E11.3591,E11.3592,E11.3593,E11.3599,E11.36,E11.37,E11.37X1,E11.37X2,E11.37X3,E11.37X9,E11.39,E11.4,E11.40,E11.41,E11.42,E11.43,E11.44,E11.49,E11.5,E11.51,E11.52,E11.59,E11.6,E11.61,E11.610,E11.618,E11.62,E11.620,E11.621,E11.622,E11.628,E11.63,E11.630,E11.638,E11.64,E11.641,E11.649,E11.65,E11.69,E11.8,E11.9,E13,E13.0,E13.00,E13.01,E13.1,E13.10,E13.11,E13.2,E13.21,E13.22,E13.29,E13.3,E13.31,E13.311,E13.319,E13.32,E13.321,E13.3211,E13.3212,E13.3213,E13.3219,E13.329,E13.3291,E13.3292,E13.3293,E13.3299,E13.33,E13.331,E13.3311,E13.3312,E13.3313,E13.3319,E13.339,E13.3391,E13.3392,E13.3393,E13.3399,E13.34,E13.341,E13.3411,E13.3412,E13.3413,E13.3419,E13.349,E13.3491,E13.3492,E13.3493,E13.3499,E13.35,E13.351,E13.3511,E13.3512,E13.3513,E13.3519,E13.352,E13.3521,E13.3522,E13.3523,E13.3529,E13.353,E13.3531,E13.3532,E13.3533,E13.3539,E13.354,E13.3541,E13.3542,E13.3543,E13.3549,E13.355,E13.3551,E13.3552,E13.3553,E13.3559,E13.359,E13.3591,E13.3592,E13.3593,E13.3599,E13.36,E13.37,E13.37X1,E13.37X2,E13.37X3,E13.37X9,E13.39,E13.4,E13.40,E13.41,E13.42,E13.43,E13.44,E13.49,E13.5,E13.51,E13.52,E13.59,E13.6,E13.61,E13.610,E13.618,E13.62,E13.620,E13.621,E13.622,E13.628,E13.63,E13.630,E13.638,E13.64,E13.641,E13.649,E13.65,E13.69,E13.8,E13.9,O24.1,O24.11,O24.111,O24.112,O24.113,R73.0,R73.01,R73.02,R73.09,R73.9,R81,R82.4,Z96.4,Z96.41,Z96.49	
